ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-09-15,1237.70139946112,-8747.133776160474,11035.914390299078,1237.70139946112,1237.70139946112,-200.9766846392933,-200.9766846392933,-200.9766846392933,1079.3357269102835,1079.3357269102835,1079.3357269102835,-1280.3124115495768,-1280.3124115495768,-1280.3124115495768,0.0,0.0,0.0,1036.7247148218266
2016-10-03,1978.9896064487161,-5966.274124693717,12258.380108898746,1978.9896064487161,1978.9896064487161,947.6835411260028,947.6835411260028,947.6835411260028,3310.45489536472,3310.45489536472,3310.45489536472,-2362.771354238717,-2362.771354238717,-2362.771354238717,0.0,0.0,0.0,2926.6731475747188
2016-10-04,2020.1722846146936,-6865.0935954199995,12185.779149937494,2020.1722846146936,2020.1722846146936,857.3638751866404,857.3638751866404,857.3638751866404,2978.451167115862,2978.451167115862,2978.451167115862,-2121.087291929222,-2121.087291929222,-2121.087291929222,0.0,0.0,0.0,2877.536159801334
2016-10-05,2061.354962780671,-6990.731737258936,12417.918183357944,2061.354962780671,2061.354962780671,338.17805793328466,338.17805793328466,338.17805793328466,2188.719426901196,2188.719426901196,2188.719426901196,-1850.5413689679115,-1850.5413689679115,-1850.5413689679115,0.0,0.0,0.0,2399.533020713956
2016-10-06,2102.5376409466485,-7608.522801136145,11434.227595540131,2102.5376409466485,2102.5376409466485,-481.68437364882226,-481.68437364882226,-481.68437364882226,1079.335726911806,1079.335726911806,1079.335726911806,-1561.0201005606282,-1561.0201005606282,-1561.0201005606282,0.0,0.0,0.0,1620.8532672978263
2016-10-07,2143.7203191126264,-8434.83663045941,10858.476141450392,2143.7203191126264,2143.7203191126264,-1108.6671684282012,-1108.6671684282012,-1108.6671684282012,155.00960469375178,155.00960469375178,155.00960469375178,-1263.6767731219527,-1263.6767731219527,-1263.6767731219527,0.0,0.0,0.0,1035.0531506844252
2016-10-08,2184.902997278604,-12827.226592551962,5563.3987169253205,2184.902997278604,2184.902997278604,-6349.3069746317215,-6349.3069746317215,-6349.3069746317215,-5378.716804087102,-5378.716804087102,-5378.716804087102,-970.5901705446194,-970.5901705446194,-970.5901705446194,0.0,0.0,0.0,-4164.403977353118
2016-10-09,2226.0856754445813,-12085.419633537585,5859.715923580512,2226.0856754445813,2226.0856754445813,-5027.639146319078,-5027.639146319078,-5027.639146319078,-4333.254016884353,-4333.254016884353,-4333.254016884353,-694.3851294347238,-694.3851294347238,-694.3851294347238,0.0,0.0,0.0,-2801.5534708744963
2016-10-10,2267.2683536105587,-4310.099138787046,14471.126226642913,2267.2683536105587,2267.2683536105587,2862.629525941141,2862.629525941141,2862.629525941141,3310.4548953552276,3310.4548953552276,3310.4548953552276,-447.8253694140864,-447.8253694140864,-447.8253694140864,0.0,0.0,0.0,5129.8978795517
2016-12-23,5314.786537892897,-17674.403393769655,1112.3212277393695,5314.786537892897,5314.786537892897,-13454.496967899999,-13454.496967899999,-13454.496967899999,155.00960469650633,155.00960469650633,155.00960469650633,-13609.506572596505,-13609.506572596505,-13609.506572596505,0.0,0.0,0.0,-8139.710430007101
